source_url	source_url_normalized	ref	fact	bias
https://crooked.com	crooked.com	https://mediabiasfactcheck.com/crooked-media/	high	left
http://deepleftfield.info	deepleftfield.info	https://mediabiasfactcheck.com/deep-left-field/	mixed	left
https://antifascistnews.net	antifascistnews.net	https://mediabiasfactcheck.com/anti-fascist-news/	high	left
http://www.cnn.com	cnn.com	http://mediabiasfactcheck.com/cnn/	mixed	left
http://www.allthatsfab.com	allthatsfab.com	http://mediabiasfactcheck.com/all-thats-fab/	mixed	left
http://www.dailykos.com	dailykos.com	http://mediabiasfactcheck.com/daily-kos/	mixed	left
http://deepstatenation.com	deepstatenation.com	https://mediabiasfactcheck.com/deepstatenation-com/	mixed	left
http://crooksandliars.com	crooksandliars.com	http://mediabiasfactcheck.com/crooks-and-liars/	mixed	left
https://www.autostraddle.com	autostraddle.com	https://mediabiasfactcheck.com/autostraddle/	high	left
http://www.codepink.org	codepink.org	https://mediabiasfactcheck.com/code-pink/	mixed	left
http://www.bluedotdaily.com	bluedotdaily.com	http://mediabiasfactcheck.com/blue-dot-daily/	mixed	left
http://www.alternet.org	alternet.org	http://mediabiasfactcheck.com/alternet/	mixed	left
http://www.mirror.co.uk	mirror.co.uk	http://mediabiasfactcheck.com/daily-mirror/	mixed	left
https://democracychronicles.org	democracychronicles.org	https://mediabiasfactcheck.com/democracy-chronicles/	high	left
https://www.currentaffairs.org	currentaffairs.org	http://mediabiasfactcheck.com/current-affairs-magazine/	high	left
http://bluenationreview.com	bluenationreview.com	http://mediabiasfactcheck.com/blue-nation-review/	mixed	left
http://www.commondreams.org	commondreams.org	http://mediabiasfactcheck.com/common-dreams/	high	left
http://aidc.org.za/amandla-media	aidc.org.za	http://mediabiasfactcheck.com/amandla/	high	left
http://addictinginfo.com	addictinginfo.com	http://mediabiasfactcheck.com/addicting-info/	mixed	left
https://democracyguardian.com	democracyguardian.com	https://mediabiasfactcheck.com/democracy-guardian/	mixed	left
https://www.americanprogress.org	americanprogress.org	http://mediabiasfactcheck.com/center-for-american-progress/	high	left
http://www.citypaper.com	citypaper.com	https://mediabiasfactcheck.com/baltimore-city-paper/	mixed	left
http://www.curvemag.com	curvemag.com	https://mediabiasfactcheck.com/curve-magazine/	high	left
bluestatedaily.com	bluestatedaily.com	https://mediabiasfactcheck.com/blue-state-daily/	mixed	left
http://www.dailyrecord.co.uk	dailyrecord.co.uk	https://mediabiasfactcheck.com/daily-record-scotland/	mixed	left
http://www.advocate.com	advocate.com	http://mediabiasfactcheck.com/advocate/	high	left
http://americablog.com	americablog.com	http://mediabiasfactcheck.com/americablog/	high	left
http://www.democracynow.org	democracynow.org	http://mediabiasfactcheck.com/democracy-now/	high	left
http://www.prwatch.org/cmd	prwatch.org	http://mediabiasfactcheck.com/center-for-media-and-democracy/	high	left
http://boingboing.net	boingboing.net	http://mediabiasfactcheck.com/boing-boing/	high	left
http://www.daily49er.com	daily49er.com	https://mediabiasfactcheck.com/daily-49er/	high	left
http://www.cosmopolitan.com	cosmopolitan.com	http://mediabiasfactcheck.com/cosmopolitan/	high	left
http://www.ebar.com	ebar.com	http://mediabiasfactcheck.com/bay-area-reporter/	high	left
http://www.dallasvoice.com	dallasvoice.com	http://mediabiasfactcheck.com/dallas-voice/	high	left
https://www.dissentmagazine.org	dissentmagazine.org	http://mediabiasfactcheck.com/dissent-magazine/	high	left
http://www.democraticunderground.com	democraticunderground.com	http://mediabiasfactcheck.com/democratic-underground/	mixed	left
https://americanbridgepac.org	americanbridgepac.org	http://mediabiasfactcheck.com/american-bridge-21st-century/	mixed	left
http://www.countercurrents.org	countercurrents.org	http://mediabiasfactcheck.com/countercurrents-org/	high	left
http://www.thedailybeast.com	thedailybeast.com	http://mediabiasfactcheck.com/daily-beast/	high	left
